start time,title,artist,duration,program id
2020-08-25T15:30:17Z,Why Can't This Be Love,Van Halen,210,203
2020-08-25T15:24:26Z,Iron Man,Black Sabbath,350,201
2020-08-25T15:10:56Z,Sweet Child O' Mine (LP Vers,Guns N' Roses,348,201
2020-08-25T15:07:59Z,Sad But True,Metallica,319,201
2020-08-25T15:03:12Z,More Than A Feeling,Boston,273,201
2020-08-25T14:59:03Z,Every Little Thing She Does,Police,241,201
2020-08-25T14:47:43Z,Man In The Box,Alice In Chains,284,204
2020-08-25T14:44:07Z,American Girl,Tom Petty & The Heartbreaker,203,201
2020-08-25T14:40:35Z,Jumpin' Jack Flash,Rolling Stones,211,201
2020-08-25T14:37:08Z,Signs,Tesla,186,201
