start time,title,artist,duration,program id
2020-08-24T15:30:17Z,Why Can't This Be Love,Van Halen,210,203
2020-08-24T15:24:26Z,Iron Man,Black Sabbath,350,201
2020-08-24T15:10:56Z,Sweet Child O' Mine (LP Vers,Guns N' Roses,348,201
2020-08-24T15:07:59Z,Sad But True,Metallica,319,201
2020-08-24T15:03:12Z,More Than A Feeling,Boston,273,201
2020-08-24T14:59:03Z,Every Little Thing She Does,Police,241,201
2020-08-24T14:47:43Z,Man In The Box,Alice In Chains,284,204
2020-08-24T14:44:07Z,American Girl,Tom Petty & The Heartbreaker,203,201
2020-08-24T14:40:35Z,Jumpin' Jack Flash,Rolling Stones,211,201
2020-08-24T14:37:08Z,Signs,Tesla,186,201
2020-08-24T14:25:23Z,Hey You,Pink Floyd,275,201
2020-08-24T14:21:23Z,Everlong,Foo Fighters,239,201
2020-08-24T14:15:46Z,Freewill,Rush,316,201
2020-08-24T14:11:09Z,Gold Dust Woman,Fleetwood Mac,276,201
2020-08-24T14:06:42Z,Eruption/You Really Got Me,Van Halen,256,201
2020-08-24T14:01:43Z,Here I Go Again,Whitesnake,266,201
2020-08-24T13:53:30Z,Round And Round,Ratt,259,201
2020-08-24T13:48:16Z,Call Me The Breeze,Lynyrd Skynyrd,306,201
2020-08-24T13:41:00Z,Heartbreaker / Living Loving,Led Zeppelin,411,201
2020-08-24T13:33:52Z,Layla,Derek & The Dominoes,418,201
2020-08-24T13:29:47Z,Sharp Dressed Man,ZZ Top,244,201
2020-08-24T13:24:54Z,Here Comes My Girl,Tom Petty & The Heartbreaker,255,201
2020-08-24T13:20:45Z,Otherside (Album Version),Red Hot Chili Peppers,249,201
2020-08-24T13:16:37Z,I Want You To Want Me (Live),Cheap Trick,215,201
2020-08-24T13:12:36Z,Animal,Def Leppard,241,201
2020-08-24T13:08:18Z,Kryptonite,3 Doors Down,230,201
2020-08-24T12:55:50Z,Carry On Wayward Son,Kansas,316,201
2020-08-24T12:52:21Z,You Shook Me All Night Long,AC/DC,209,201
2020-08-24T12:47:11Z,Ramblin' Man,Allman Brothers Band,279,204
2020-08-24T12:43:36Z,Come As You Are,Nirvana,210,201
2020-08-24T12:38:22Z,Miss You,Rolling Stones,275,201
2020-08-24T12:35:59Z,Break On Through,Doors,143,201
2020-08-24T12:31:49Z,Just What I Needed,Cars,221,201
2020-08-24T12:25:22Z,Money Edit,Pink Floyd,386,204
2020-08-24T12:14:41Z,My Hero,Foo Fighters,238,201
2020-08-24T12:09:52Z,Hot For Teacher,Van Halen,279,202
2020-08-24T12:04:37Z,Bad Company,Bad Company,274,201
2020-08-24T12:00:43Z,Under Pressure,Queen & David Bowie,227,201
2020-08-24T11:55:10Z,Magic Man,Heart,325,201
2020-08-24T11:43:47Z,Hunger Strike,Temple Of The Dog,236,201
2020-08-24T11:40:45Z,I Love Rock 'n Roll,Joan Jett,172,201
2020-08-24T11:35:49Z,Misty Mountain Hop,Led Zeppelin,271,201
2020-08-24T11:32:31Z,Revolution  (Hit 45 Version),Beatles,197,204
2020-08-24T11:27:58Z,Dreams,Fleetwood Mac,250,201
2020-08-24T11:23:35Z,Runnin' Down A Dream,"Petty, Tom",253,201
2020-08-24T11:09:26Z,Slow Ride,Foghat,490,201
2020-08-24T11:04:18Z,Jeremy,Pearl Jam,308,201
2020-08-24T11:00:29Z,Dirty Deeds Done Dirt Cheap,AC/DC,222,201
2020-08-24T10:56:26Z,Don't Stop Believin',Journey,243,201
2020-08-24T10:50:51Z,Comedown,Bush,321,202
2020-08-24T10:43:04Z,Two Tickets To Paradise,Eddie Money,235,201
2020-08-24T10:39:09Z,Rock Of Ages,Def Leppard,234,201
2020-08-24T10:34:02Z,It's Only Rock N Roll (But I,Rolling Stones,301,201
2020-08-24T10:29:46Z,Bullet With Butterfly Wings,Smashing Pumpkins,255,201
2020-08-24T10:23:17Z,Hotel California,Eagles,379,201
2020-08-24T10:21:04Z,Bad Moon Rising,Creedence Clearwater Revival,133,203
2020-08-24T10:11:26Z,Closer To The Heart,Rush,165,201
2020-08-24T10:06:31Z,We Will Rock You/we Are The,Queen,294,201
2020-08-24T10:02:03Z,Boulevard Of Broken Dreams,Green Day,257,201
2020-08-24T09:57:10Z,Empty Spaces / Young Lust,Pink Floyd,287,201
2020-08-24T09:52:40Z,Bang A Gong,T. Rex,261,201
2020-08-24T09:49:10Z,Runnin' With The Devil,Van Halen,209,201
2020-08-24T09:42:20Z,Paradise City,Guns N' Roses,404,201
2020-08-24T09:37:57Z,Wheel In The Sky,Journey,243,201
2020-08-24T09:35:13Z,Vasoline,Stonetemple Pilots,163,204
2020-08-24T09:31:03Z,Money For Nothing,Dire Straits,235,205
2020-08-24T09:26:17Z,Cheap Sunglasses,ZZ Top,286,201
2020-08-24T09:21:38Z,What Is And What Should Neve,Led Zeppelin,268,201
2020-08-24T09:19:00Z,Don't Do Me Like That,Tom Petty & The Heartbreaker,157,201
